node_id,label,feat
50,2,"0.0143107476635514,0.0143107476635514,0.0002106828434609,0.300932462131959,0.0497866338091235"
51,1,"0.0210280373831775,0.0213200934579439,0.000693364943852,0.3000894378841648,0.0614114163782655"
52,2,"0.0292056074766355,0.0294976635514018,0.00152970064068,0.3336806390299606,0.1003065841361986"
53,2,"0.0160630841121495,0.0154789719626168,0.0002541512145287,0.3118112412794523,0.0551826020634403"
54,2,"0.0242406542056074,0.0233644859813084,0.002130387669135,0.3021371776568254,0.0695220037721762"
55,1,"0.0011682242990654,0.0011682242990654,5.535588740901445e-08,0.2735636971436006,0.0060160702512565"
56,2,"0.0242406542056074,0.0242406542056074,0.0009632486144347,0.3029088497333,0.0710273370488052"
57,2,"0.0397196261682243,0.0400116822429906,0.0078023684715927,0.3640817585381173,0.1261915152549076"
58,1,"0.0002920560747663,0.0002920560747663,0.0,0.2019453733657363,1.9922698938353537e-05"
59,2,"0.0359228971962616,0.0359228971962616,0.0188580241405457,0.3422083387908252,0.0956286809780836"
60,1,"0.0011682242990654,0.0011682242990654,3.697272345859009e-07,0.2540578165118329,0.0014421420368872"
61,1,"0.000876168224299,0.0011682242990654,1.473037918281076e-06,0.2540966959695591,0.0014580766430962"
62,1,"0.0002920560747663,0.0002920560747663,0.0,0.2019453733657363,1.9922698938353537e-05"
63,1,"0.0005841121495327,0.0005841121495327,0.0,0.2540383812443519,0.0014011995388941"
64,1,"0.0005841121495327,0.0005841121495327,0.0,0.2503988628884156,0.0011593001823595"
65,1,"0.0005841121495327,0.0005841121495327,0.0,0.2539995196287416,0.0014009695862011"
66,1,"0.0005841121495327,0.0005841121495327,0.0,0.256570325243465,0.002369036225388"
67,1,"0.0005841121495327,0.0005841121495327,0.0005756653042502,0.2540189489502156,0.0013804440048152"
68,1,"0.000876168224299,0.000876168224299,0.0,0.2600054587868907,0.0025996685071478"
69,1,"0.0002920560747663,0.0002920560747663,0.0,0.2539800932792481,0.0013801564885168"
70,2,"0.0303738317757009,0.0303738317757009,0.0141108641102202,0.3255357043060649,0.0836588453678192"
71,1,"0.000876168224299,0.000876168224299,4.690685620621304e-06,0.2600054587868907,0.0025198214882363"
72,1,"0.0020443925233644,0.0020443925233644,3.779419911988479e-06,0.2656206782615716,0.0066920256576503"
73,1,"0.0087616822429906,0.0087616822429906,4.408733762425055e-05,0.2878382352107279,0.0264770945501876"
74,1,"0.0011682242990654,0.0011682242990654,2.145473926441553e-06,0.2546422605341744,0.0017698518266633"
75,1,"0.0005841121495327,0.0005841121495327,0.0005756653042502,0.2540189489502156,0.0013804440048152"
76,1,"0.0017523364485981,0.0014602803738317,2.0846613070923973e-05,0.2802590699321604,0.006049727767022"
77,1,"0.0014602803738317,0.0023364485981308,0.0043130957158965,0.2253215985633171,0.0001012885416353"
78,0,"0.0002920560747663,0.0002920560747663,0.0002877899912903,0.1834663816382567,1.4628729678440966e-06"
79,0,"0.0002920560747663,0.0002920560747663,0.0005755799825807,0.1834663816382567,1.4628729678440966e-06"
80,0,"0.0002920560747663,0.0002920560747663,0.0002877899912903,0.1834663816382567,1.4628729678440966e-06"
81,0,"0.0002920560747663,0.0005841121495327,0.0,0.1833778629204356,1.4628729678440966e-06"
82,0,"0.0002920560747663,0.0002920560747663,0.0002878753129598,0.1547465738974594,2.113286686379036e-08"
83,1,"0.0002920560747663,0.0002920560747663,0.0,0.2445713447949748,0.000333880853892"
84,1,"0.0005841121495327,0.0005841121495327,0.0,0.2446434153253402,0.0004033895818322"
85,1,"0.0002920560747663,0.0002920560747663,0.0,0.2445713447949748,0.000333880853892"
86,1,"0.0014602803738317,0.0014602803738317,4.2660834759911645e-08,0.2446974961039104,0.0004565302719076"
87,1,"0.0002920560747663,0.0002920560747663,0.0,0.2445713447949748,0.000333880853892"
88,1,"0.0005841121495327,0.0005841121495327,0.0,0.2446434153253402,0.0004033895818322"
89,2,"0.0108060747663551,0.0116822429906542,0.0006145418239222,0.2918092899495754,0.0143353089047545"
90,1,"0.000876168224299,0.000876168224299,0.0,0.2446614395952382,0.0004330012312947"
91,1,"0.0023364485981308,0.0023364485981308,9.097320425962296e-07,0.2757214978102099,0.0033794395024612"
92,1,"0.0005841121495327,0.0005841121495327,0.0,0.2446434153253402,0.0004033895818322"
93,2,"0.0227803738317757,0.0227803738317757,0.0194751047846001,0.3253443440409688,0.0231291085573493"
94,1,"0.0005841121495327,0.0005841121495327,0.0,0.2446434153253402,0.0004033895818322"
95,1,"0.0005841121495327,0.0005841121495327,0.0,0.2446434153253402,0.0004033895818322"
96,1,"0.0014602803738317,0.0014602803738317,1.0324722287298154e-06,0.2452758490011203,0.000560868089806"
97,1,"0.0002920560747663,0.0002920560747663,0.0,0.2445713447949748,0.000333880853892"
98,1,"0.0005841121495327,0.0005841121495327,0.0,0.2446434153253402,0.0004033895818322"
99,1,"0.0002920560747663,0.0002920560747663,0.0,0.2445713447949748,0.000333880853892"
100,1,"0.0011682242990654,0.0011682242990654,0.0005756653042502,0.2446974961039104,0.0004208369948956"
101,1,"0.000876168224299,0.000876168224299,3.668831789352402e-07,0.2283271259368927,0.0001276757132547"
102,0,"0.0005841121495327,0.0005841121495327,0.0,0.233595225072184,0.0002435948914197"
103,2,"0.0131425233644859,0.0128504672897196,0.0087044359857323,0.2970826372898701,0.0085382270743379"
104,1,"0.000876168224299,0.000876168224299,3.5089267578667323e-06,0.2538441919909928,0.0007812518413268"
105,1,"0.0052570093457943,0.0052570093457943,0.0029559855930515,0.2545836951568666,0.001416145964341"
106,1,"0.0029205607476635,0.0029205607476635,0.0005838455123928,0.2543886716428809,0.0013526360964156"
107,0,"0.000876168224299,0.000876168224299,3.5089267578667323e-06,0.2538247893928126,0.0007568574945244"
