node_id,feat
19,"0.0081775700934579,0.0081775700934579,0.0028421296718841,0.2864972581853307,0.0073537086529794,0.242063492063492"
18,"0.0026285046728971,0.0026285046728971,2.178193384868891e-05,0.264963673472127,0.0031895766769659,0.5277777777777778"
20,"0.0002920560747663,0.0002920560747663,0.0,0.2219482502089405,0.0001061392936224,0.0"
22,"0.0002920560747663,0.0002920560747663,0.0,0.2219482502089405,0.0001061392936224,0.0"
23,"0.0002920560747663,0.0002920560747663,0.0,0.2219482502089405,0.0001061392936224,0.0"
24,"0.0005841121495327,0.0005841121495327,0.0,0.222096690718711,0.0001985338513907,1.0"
25,"0.0067172897196261,0.0067172897196261,0.0032452391403172,0.2797396781759049,0.006401519545417,0.2490118577075099"
21,"0.0017523364485981,0.0017523364485981,3.839475128392048e-07,0.2524739389968956,0.0018195951617784,0.8666666666666667"
26,"0.0002920560747663,0.0002920560747663,0.0,0.2428187861674589,0.0003305355944406,0.0"
30,"0.0166471962616822,0.0166471962616822,0.0137481559513626,0.3222503366934661,0.0228961276707953,0.2023809523809523"
27,"0.0014602803738317,0.0014602803738317,2.122478102721699e-06,0.2431566024475484,0.000370292243016,0.6"
32,"0.0005841121495327,0.0005841121495327,0.0,0.2428365425686411,0.0003358817312686,1.0"
28,"0.0002920560747663,0.0002920560747663,0.0,0.2428187861674589,0.0003305355944406,0.0"
29,"0.0011682242990654,0.0011682242990654,5.374851646940852e-06,0.2458751458334198,0.0007935652010205,0.6666666666666666"
31,"0.000876168224299,0.000876168224299,0.0,0.2428543015669276,0.0003470029697658,1.0"
33,"0.000876168224299,0.000876168224299,0.0,0.2428543015669276,0.0003470029697658,1.0"
34,"0.0058411214953271,0.0061331775700934,0.0003714186427477,0.2867941721760228,0.0096287848176514,0.46625"
37,"0.0005841121495327,0.0005841121495327,0.0,0.2224090629982029,0.0002549619945878,1.0"
42,"0.0040887850467289,0.0043808411214953,0.0002912792514027,0.2851197492595662,0.0080369476802188,0.5790816326530612"
35,"0.0081775700934579,0.0087616822429906,0.0029941017472017,0.309630743088687,0.0189615969391322,0.3144615384615384"
36,"0.0046728971962616,0.0046728971962616,7.999858225278601e-05,0.287763407246635,0.0090443323051513,0.55"
39,"0.009053738317757,0.009053738317757,0.0016566177872165,0.3082225468374019,0.0213424168118633,0.3498119290703922"
38,"0.0055490654205607,0.0052570093457943,0.0004023614451391,0.2843872329901659,0.0075182269441563,0.4830508474576271"
40,"0.0040887850467289,0.0040887850467289,8.11764111220248e-05,0.2863984234261464,0.0059275762605225,0.5601092896174863"
41,"0.0026285046728971,0.0023364485981308,2.348096099393422e-05,0.2879131021004134,0.0066218093824242,0.625"
43,"0.0216121495327102,0.0216121495327102,0.024835663352562,0.3152748238513403,0.0262122752747947,0.1423546834505738"
45,"0.0052570093457943,0.0055490654205607,0.002507780270228,0.2893430094646831,0.0067906115812376,0.382716049382716"
