,src_id,dst_id
385,168,178
386,169,178
387,170,93
388,170,180
389,171,178
390,93,170
391,93,178
392,172,178
393,173,178
394,174,178
395,175,178
396,176,178
397,177,178
398,178,164
399,178,165
400,178,166
401,178,167
402,178,168
403,178,169
404,178,171
405,178,93
406,178,172
407,178,173
408,178,174
409,178,175
410,178,176
411,178,177
412,178,179
413,178,180
414,179,178
415,180,170
416,180,178
417,181,184
418,182,57
419,183,185
420,184,181
421,184,185
422,184,189
423,184,57
424,185,183
425,185,184
426,185,188
427,185,191
428,185,193
429,185,194
430,186,190
431,187,57
432,188,185
433,189,184
434,190,186
435,191,185
436,192,57
437,193,185
438,194,185
439,57,182
440,57,184
441,57,187
442,57,192
443,195,206
444,195,207
445,195,209
446,195,211
447,195,213
448,195,219
449,196,199
450,197,199
451,197,212
452,198,199
453,198,215
454,198,218
455,199,196
456,199,197
457,199,198
458,199,200
459,199,201
460,199,202
461,199,208
462,199,210
463,199,216
464,199,218
465,200,199
466,201,199
467,201,202
468,202,199
469,203,219
470,204,208
471,204,218
472,205,210
473,205,218
474,206,195
475,207,195
476,207,208
477,208,199
478,208,204
479,208,207
480,208,210
481,208,214
482,208,215
483,208,217
484,209,195
485,210,199
486,210,205
487,210,208
488,210,212
489,211,195
490,212,197
491,212,210
492,212,218
493,213,195
494,214,208
495,214,218
496,215,198
497,215,208
498,216,199
499,217,208
500,217,218
501,218,198
502,218,199
503,218,204
504,218,205
505,218,212
506,218,214
507,218,217
508,219,195
509,219,203
510,220,230
511,220,234
512,130,225
513,130,230
514,130,234
515,221,225
516,222,225
517,223,225
518,223,230
519,223,234
520,224,230
521,225,130
522,225,221
523,225,222
524,225,223
525,225,226
526,225,135
527,225,228
528,225,229
529,225,232
530,225,233
531,225,235
532,226,225
533,227,229
534,135,225
535,135,234
536,228,225
537,229,225
538,229,227
539,229,230
540,230,220
541,230,130
542,230,223
543,230,224
544,230,229
545,230,231
546,231,230
547,232,225
548,233,225
549,234,220
550,234,130
551,234,223
552,234,135
553,235,225
554,236,239
555,236,240
556,237,238
557,238,236
558,239,236
559,240,236
560,1,3
561,1,8
562,241,3
563,3,1
